UF;fxetaria;Casos_novos;Pop2018
AM;0 a 9 ;94;797348
AM;10 a 19 ;326;833132
AM;20 a 39;1343;1425940
AM;40 a 59;801;787903
AM;60 a 64;137;102973
AM;65 a 69;119;71360
AM;70 a 79;184;75071
AM;80 e +;87;30306
SP;0 a 9 ;366;5707130
SP;10 a 19 ;1270;6606666
SP;20 a 39;9278;14542846
SP;40 a 59;5179;11960819
SP;60 a 64;858;2142068
SP;65 a 69;546;1642946
SP;70 a 79;593;1894798
SP;80 e +;214;932057
RJ;0 a 9 ;204;2044710
RJ;10 a 19 ;1016;2398146
RJ;20 a 39;9278;5170911
RJ;40 a 59;5179;4472465
RJ;60 a 64;858;862048
RJ;65 a 69;546;671913
RJ;70 a 79;593;773932
RJ;80 e +;214;404296
